NOME,AREA,DECL,DURC,VCHU,IMPV,TIPO,DIAM,LESC,PMAX,VAZT,VTOT,RAZA,KSAT,ALTC,CLBO,VSUP,VINF,VGER,PSUP,PINF,VINI,VEVA,VRET,VSTO,ERRO,CENARIO
B39,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,0.22,,,0.1788617886178861,85.0,1.23,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B41,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,0.29,,,0.2357723577235772,85.0,1.23,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B43,0.0315,1.0,30,13.9,79.1,rua,0.4,18.75,0.29,,,0.2357723577235772,85.0,1.23,Normal,11.13,2.9,11.14,99.91023339317772,26.03231597845601,13.9,0.0,0.0,0.01,0.0,01
B27,0.0618,1.0,30,13.9,83.0,rua,0.4,18.75,1.0,90.44,0.0176,0.0,85.0,1.0,Normal,11.49,2.36,11.5,99.91304347826087,20.52173913043478,13.9,0.0,0.0,0.01,0.01,01
B25,0.0618,1.0,30,13.9,83.0,rua,0.4,18.75,1.36,281.07,0.0142,0.0,85.0,1.0,Normal,11.49,2.36,11.5,99.91304347826087,20.52173913043478,13.9,0.0,0.0,0.01,0.01,01
B24,0.0618,1.0,30,13.9,83.0,rua,0.4,18.75,1.23,0.828,0.228,0.0,85.0,1.0,Normal,11.49,2.36,11.5,99.91304347826087,20.52173913043478,13.9,0.0,0.0,0.01,0.01,01
B67,0.0618,1.0,30,13.9,83.0,rua,0.4,18.75,0.24,23.02,0.0071,26.30857142857143,85.0,0.875,Transbordamento,11.49,2.36,11.5,99.91304347826087,20.52173913043478,13.9,0.0,0.0,0.01,0.01,01
B68,0.0618,1.0,30,13.9,83.0,rua,0.4,18.75,0.12,57.74,0.0176,57.74,85.0,1.0,Transbordamento,11.49,2.36,11.5,99.91304347826087,20.52173913043478,13.9,0.0,0.0,0.01,0.01,01
B98,0.0618,1.29,30,13.9,83.0,rua,0.4,18.75,1.15,213.58,0.0177,0.0,85.0,1.075,Normal,11.53,2.36,11.54,99.91334488734836,20.45060658578856,13.9,0.0,0.0,0.01,0.01,01
B97,0.0618,1.29,30,13.9,83.0,rua,0.4,12.75,1.08,0.675,0.0,0.0,85.0,1.075,Normal,11.39,2.36,11.39,100.0,20.719929762949956,13.9,0.0,0.0,0.01,0.01,01
B46,0.042,1.0,30,13.9,82.0,rua,0.6,18.75,0.45,501.6,0.013,418.00000000000006,85.0,1.2,Transbordamento,11.48,2.5,11.49,99.91296779808528,21.75805047867711,13.9,0.0,0.0,0.01,0.0,01
B45,0.0721,1.0,30,13.9,82.7,rua,0.4,18.75,0.29,,,0.2357723577235772,85.0,1.23,Normal,11.41,2.4,11.42,99.91243432574431,21.015761821366024,13.9,0.0,0.0,0.01,0.01,01
B47,0.0738,1.0,30,13.9,82.1,rua,0.6,18.75,0.32,486.84,0.0154,389.472,85.0,1.25,Transbordamento,11.32,2.49,11.33,99.9117387466902,21.97705207413945,13.9,0.0,0.0,0.01,0.01,01
B44,0.042,1.0,30,13.9,79.1,rua,0.6,18.75,0.45,501.6,0.013,418.00000000000006,85.0,1.2,Transbordamento,11.08,2.9,11.09,99.90982867448152,26.149684400360684,13.9,0.0,0.0,0.01,0.0,01
B122,0.0618,3.74,30,13.9,83.0,rua,0.4,23.0,1.13,454.23,0.00724,0.5345588235294118,85.0,1.36,Normal,11.7,2.36,11.72,99.82935153583615,20.13651877133105,13.9,0.0,0.0,0.02,0.01,01
