NOME,AREA,DECL,DURC,VCHU,IMPV,TIPO,DIAM,LESC,PMAX,VAZT,VTOT,RAZA,KSAT,ALTC,CLBO,VSUP,VINF,VGER,PSUP,PINF,VINI,VEVA,VRET,VSTO,ERRO
B28,0.0618,1.0,115,54.3,87.5,rua,0.4,18.75,2.05,324.15,0.0706,0.0,89.0,1.0,Normal,53.06,2.6,57.22,92.72981475008739,4.543865781195387,61.59,0.0,0.0,4.62,0.04
B115,0.0315,1.29,115,54.3,87.5,rua,0.4,18.75,1.42,73.60,0.0898,0.0,89.0,1.0,Normal,53.43,2.6,57.65,92.67996530789246,4.509973980919342,61.59,0.0,0.0,4.69,0.02
B22,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,2.01,1.610,1.010,0.0,89.0,1.0,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B20,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,2.01,1.610,1.010,0.0,89.0,1.0,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B18,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,2.01,1.610,1.010,0.0,89.0,1.0,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B16,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,1.85,189.88,0.0725,0.0,89.0,0.98,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B14,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,1.85,189.88,0.0725,0.0,89.0,0.98,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B12,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,1.85,189.88,0.0725,0.0,89.0,0.98,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B10,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,1.85,189.88,0.0725,0.0,89.0,0.98,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B8,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,1.42,147.26,0.0726,0.0,89.0,1.0,Normal,53.38,2.6,58.07,91.92354055450319,4.4773549164801105,61.59,0.0,0.0,4.68,0.02
B6,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,1.42,147.26,0.0726,0.0,89.0,1.0,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B4,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,1.42,147.26,0.0726,0.0,89.0,1.0,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B2,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,1.42,147.26,0.0726,0.0,89.0,1.0,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B29,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,1.34,73.42,0.0897,0.0,89.0,1.0,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B31,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,1.34,73.42,0.0897,0.0,89.0,1.0,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B33,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,1.34,73.42,0.0897,0.0,89.0,1.0,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B35.,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,0.27,44.79,0.0545,36.41463414634146,89.0,1.23,Transbordamento,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B37,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,0.27,44.79,0.0545,36.41463414634146,89.0,1.23,Transbordamento,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B39,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,0.27,44.79,0.0545,36.41463414634146,89.0,1.23,Transbordamento,53.38,2.6,58.07,91.92354055450319,4.4773549164801105,61.59,0.0,0.0,4.68,0.02
B41,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,0.83,63.17,0.0774,0.34552845528455284,89.0,1.23,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
B43,0.0315,1.0,115,54.3,87.5,rua,0.4,18.75,0.83,63.17,0.0774,0.34552845528455284,89.0,1.23,Normal,53.38,2.6,57.6,92.67361111111111,4.513888888888888,61.59,0.0,0.0,4.68,0.02
